Time,Motor,CF,IF,Brake,E,Mean,Skewness,MAD,SF,Distance,SAD,P2P,Var,Kurtosis,Safety,Door,Resv-1,Resv-2,Resv-3,FFT-Motor Freq,FFT-Motor Mag,FFT-Resv1 Freq,FFT-Resv1 Mag,FFT-Resv2 Freq,FFT-Resv2 Mag,door,workMode,vibration_y,openCloseDoorNum,floor,cumulativeRunNum,vibration_z,vibration_x,velocity,motion,mileage
2024-04-19 20:58:57:350,0.3173924936,2.0,1000.0,0.0537125732,85.0,11.0,0.0,233.0,78.0,0.0,85.0,874.0,418.0,487.0,0.045777763799999996,0.5102694454,0.3112887918,0.3112887918,0.0076296273,,,,,,,,,,,,,,,,,
2024-04-19 20:58:57:400,0.30518509,2.0,1000.0,0.0537125732,86.0,12.0,0.0,303.0,78.0,0.0,86.0,873.0,417.0,693.0,0.045777763799999996,0.5090487051,0.29908138819999996,0.29908138819999996,0.0076296273,,,,,,,,,,,,,,,,,
2024-04-19 20:58:57:450,0.3173924936,2.0,1000.0,0.0537125732,88.0,12.0,0.0,234.0,78.0,0.0,88.0,876.0,418.0,453.0,0.0534073911,0.5102694454,0.3112887918,0.3112887918,0.0076296273,,,,,,,,,,,,,,,,,
2024-04-19 20:58:57:500,0.30518509,2.0,1000.0,0.0537125732,89.0,13.0,0.0,306.0,78.0,0.0,89.0,875.0,418.0,623.0,0.0534073911,0.5102694454,0.29908138819999996,0.29908138819999996,0.0076296273,,,,,,,,,,,,,,,,,
2024-04-19 20:58:57:550,0.3173924936,2.0,1000.0,0.0537125732,83.0,12.0,0.0,233.0,78.0,0.0,83.0,876.0,418.0,385.0,0.0534073911,0.5102694454,0.3112887918,0.3112887918,0.0076296273,,,,,,,,,,,,,,,,,
2024-04-19 20:58:57:600,0.30518509,2.0,1000.0,0.0537125732,82.0,12.0,0.0,289.0,78.0,0.0,82.0,875.0,418.0,399.0,0.0534073911,0.5102694454,0.29908138819999996,0.29908138819999996,0.0076296273,,,,,,,,,,,,,,,,,
2024-04-19 20:58:57:650,0.3173924936,2.0,1000.0,0.0537125732,86.0,11.0,0.0,223.0,78.0,0.0,86.0,877.0,418.0,194.0,0.0534073911,0.5102694454,0.3112887918,0.3112887918,0.0076296273,,,,,,,,,,,,,,,,,
2024-04-19 20:58:57:700,0.30518509,2.0,1000.0,0.0524918329,83.0,12.0,0.0,279.0,78.0,0.0,83.0,875.0,418.0,466.0,0.0534073911,0.5102694454,0.29908138819999996,0.29908138819999996,0.0076296273,,,,,,,,,,,,,,,,,
2024-04-19 20:58:57:750,0.3173924936,2.0,1000.0,0.0537125732,93.0,11.0,0.0,207.0,78.0,0.0,93.0,875.0,418.0,113.0,0.0534073911,0.5102694454,0.3112887918,0.3112887918,0.0076296273,,,,,,,,,,,,,,,,,
2024-04-19 20:58:57:800,0.30518509,2.0,1000.0,0.0524918329,82.0,11.0,0.0,277.0,78.0,0.0,82.0,873.0,417.0,362.0,0.0534073911,0.5090487051,0.29908138819999996,0.29908138819999996,0.0076296273,,,,,,,,,,,,,,,,,
2024-04-19 20:58:57:850,0.3173924936,2.0,1000.0,0.0537125732,85.0,11.0,1.0,216.0,78.0,0.0,85.0,874.0,418.0,301.0,0.0534073911,0.5102694454,0.3112887918,0.3112887918,0.0076296273,,,,,,,,,,,,,,,,,
