,Time,Motor,Brake,Distance,Safety,Door,Resv-1,Resv-2,Resv-3,Kurtosis,SAD,Var,Mean,FFT-Motor Freq,FFT-Motor Mag,E,P2P,Skewness,MAD,FFT-Resv1 Freq,CF,IF,FFT-Resv1 Mag,SF,FFT-Resv2 Freq,FFT-Resv2 Mag
61,2024-04-03 15:19:08:050,11731.0,902.0,0.0,1.0,4.0,11750.0,11743.0,1.0,,,,,,,,,,,,,,,,,
62,2024-04-03 15:19:08:100,11731.0,902.0,0.0,1.0,5.0,11749.0,11742.0,1.0,,,,,,,,,,,,,,,,,
63,2024-04-03 15:19:08:150,11730.0,902.0,0.0,1.0,5.0,11749.0,11742.0,1.0,,,,,,,,,,,,,,,,,
64,2024-04-03 15:19:08:200,11731.0,901.0,0.0,1.0,6.0,11749.0,11742.0,1.0,,,,,,,,,,,,,,,,,
65,2024-04-03 15:19:08:250,11731.0,901.0,0.0,1.0,6.0,11749.0,11742.0,1.0,,,,,,,,,,,,,,,,,
66,2024-04-03 15:19:08:300,11731.0,901.0,0.0,1.0,6.0,11749.0,11742.0,1.0,,,,,,,,,,,,,,,,,
67,2024-04-03 15:19:08:350,11731.0,901.0,0.0,1.0,6.0,11749.0,11742.0,1.0,,,,,,,,,,,,,,,,,
68,2024-04-03 15:19:08:400,11731.0,900.0,0.0,1.0,6.0,11749.0,11742.0,1.0,,,,,,,,,,,,,,,,,
69,2024-04-03 15:19:08:450,11731.0,899.0,0.0,1.0,5.0,11749.0,11742.0,1.0,,,,,,,,,,,,,,,,,
70,2024-04-03 15:19:08:500,11731.0,899.0,0.0,1.0,4.0,11749.0,11742.0,1.0,,,,,,,,,,,,,,,,,
71,2024-04-03 15:19:08:550,11731.0,898.0,0.0,1.0,4.0,11749.0,11742.0,1.0,,,,,,,,,,,,,,,,,
72,2024-04-03 15:19:08:600,11731.0,898.0,0.0,1.0,3.0,11749.0,11743.0,1.0,,,,,,,,,,,,,,,,,
73,2024-04-03 15:19:08:650,11731.0,898.0,0.0,1.0,2.0,11749.0,11742.0,1.0,,,,,,,,,,,,,,,,,
74,2024-04-03 15:19:08:700,11731.0,897.0,0.0,1.0,2.0,11749.0,11742.0,1.0,,,,,,,,,,,,,,,,,
75,2024-04-03 15:19:08:750,11731.0,897.0,0.0,1.0,2.0,11749.0,11742.0,1.0,,,,,,,,,,,,,,,,,
76,2024-04-03 15:19:08:800,11731.0,897.0,0.0,1.0,2.0,11749.0,11742.0,1.0,,,,,,,,,,,,,,,,,
77,2024-04-03 15:19:08:850,11731.0,897.0,0.0,1.0,3.0,11749.0,11742.0,1.0,,,,,,,,,,,,,,,,,
78,2024-04-03 15:19:08:900,11731.0,897.0,0.0,1.0,3.0,11749.0,11743.0,1.0,,,,,,,,,,,,,,,,,
79,2024-04-03 15:19:08:950,11731.0,897.0,0.0,1.0,4.0,11750.0,11742.0,1.0,,,,,,,,,,,,,,,,,
80,2024-04-03 15:19:09:000,11731.0,897.0,0.0,1.0,5.0,11750.0,11743.0,1.0,2148.0,683.0,36230.0,1464.0,97.0,9999.0,0.0,0.0,0.0,0.0,97.0,683.0,1367.0,10014.0,0.0,97.0,10014.0
81,2024-04-03 15:19:09:050,11731.0,896.0,0.0,1.0,4.0,11750.0,11743.0,1.0,,,,,,,,,,,,,,,,,
82,2024-04-03 15:19:09:100,11731.0,896.0,0.0,1.0,4.0,11749.0,11742.0,1.0,,,,,,,,,,,,,,,,,
83,2024-04-03 15:19:09:150,11731.0,896.0,0.0,1.0,4.0,11749.0,11742.0,1.0,,,,,,,,,,,,,,,,,
84,2024-04-03 15:19:09:200,11731.0,896.0,0.0,1.0,4.0,11749.0,11742.0,1.0,,,,,,,,,,,,,,,,,
85,2024-04-03 15:19:09:250,11731.0,896.0,0.0,1.0,4.0,11750.0,11743.0,1.0,,,,,,,,,,,,,,,,,
86,2024-04-03 15:19:09:300,11731.0,897.0,0.0,1.0,4.0,11749.0,11743.0,1.0,,,,,,,,,,,,,,,,,
87,2024-04-03 15:19:09:350,11731.0,897.0,0.0,1.0,,11749.0,11743.0,1.0,,,,,,,,,,,,,,,,,
88,2024-04-03 15:19:09:400,11731.0,897.0,0.0,1.0,4.0,11749.0,11742.0,1.0,,,,,,,,,,,,,,,,,
89,2024-04-03 15:19:09:450,11730.0,897.0,0.0,1.0,4.0,11749.0,11742.0,1.0,,,,,,,,,,,,,,,,,
90,2024-04-03 15:19:09:500,11730.0,898.0,0.0,1.0,4.0,11749.0,11742.0,1.0,,,,,,,,,,,,,,,,,
91,2024-04-03 15:19:09:550,11730.0,898.0,0.0,1.0,4.0,11749.0,11742.0,1.0,,,,,,,,,,,,,,,,,
92,2024-04-03 15:19:09:600,11730.0,899.0,0.0,1.0,3.0,11749.0,11742.0,1.0,,,,,,,,,,,,,,,,,
93,2024-04-03 15:19:09:650,11731.0,900.0,0.0,1.0,3.0,11749.0,11742.0,1.0,,,,,,,,,,,,,,,,,
94,2024-04-03 15:19:09:700,11730.0,900.0,0.0,1.0,3.0,11749.0,11742.0,1.0,,,,,,,,,,,,,,,,,
95,2024-04-03 15:19:09:750,11730.0,901.0,0.0,1.0,2.0,11749.0,11742.0,1.0,,,,,,,,,,,,,,,,,
96,2024-04-03 15:19:09:800,11730.0,901.0,0.0,1.0,2.0,11749.0,11742.0,1.0,,,,,,,,,,,,,,,,,
97,2024-04-03 15:19:09:850,11730.0,902.0,0.0,1.0,2.0,11749.0,11742.0,1.0,,,,,,,,,,,,,,,,,
98,2024-04-03 15:19:09:900,11730.0,902.0,0.0,1.0,2.0,11749.0,11742.0,1.0,,,,,,,,,,,,,,,,,
99,2024-04-03 15:19:09:950,11730.0,903.0,0.0,1.0,2.0,11749.0,11742.0,1.0,,,,,,,,,,,,,,,,,
100,2024-04-03 15:19:10:000,11730.0,903.0,0.0,1.0,2.0,11749.0,11742.0,1.0,23437.0,683.0,2148.0,1269.0,97.0,9998.0,0.0,0.0,0.0,0.0,97.0,683.0,1269.0,10014.0,0.0,97.0,10014.0
101,2024-04-03 15:19:10:050,11730.0,903.0,0.0,1.0,2.0,11749.0,11742.0,1.0,,,,,,,,,,,,,,,,,
102,2024-04-03 15:19:10:100,11730.0,903.0,0.0,1.0,3.0,11749.0,11742.0,1.0,,,,,,,,,,,,,,,,,
